County Name,State Name,State Geography ID,Sector,Year,Geography ID,Source,Consumption MMBtu,Expenditure US Dollars
Lane,Oregon,G41,industrial,2022,G4100390,ng,4313357.081737003,27416240.64691253
Yamhill,Oregon,G41,industrial,2022,G4100710,ng,1629825.767548252,10359377.767455222
Lane,Oregon,G41,residential,2022,G4100390,ng,2006190.3459448565,21666620.43833296
Yamhill,Oregon,G41,residential,2022,G4100710,ng,708477.9634995572,7651572.232155241
Baker,Oregon,G41,commercial,2022,G4100010,elec,201229.63513258068,4424952.531449857
Coos,Oregon,G41,commercial,2022,G4100110,elec,862173.0485732446,23697205.643830463
Sherman,Oregon,G41,commercial,2022,G4100550,elec,19023.09860195926,528536.9257234433
Union,Oregon,G41,commercial,2022,G4100610,elec,266305.1205835809,5800111.319407344
Baker,Oregon,G41,commercial,2022,G4100010,ng,96200.04953707641,864247.5173583793
Coos,Oregon,G41,commercial,2022,G4100110,ng,413573.1640025996,3760674.507359244
Sherman,Oregon,G41,commercial,2022,G4100550,ng,212.7295112591724,23.131198255120463
Union,Oregon,G41,commercial,2022,G4100610,ng,240656.8567529322,2229417.6191987684
Baker,Oregon,G41,residential,2022,G4100010,elec,250046.86164986188,7060405.381937629
Coos,Oregon,G41,residential,2022,G4100110,elec,1035906.8499405781,32629191.379133783
Sherman,Oregon,G41,residential,2022,G4100550,elec,31028.331989733302,974843.6484706488
Union,Oregon,G41,residential,2022,G4100610,elec,341128.17617599637,9787480.729603074
Coos,Oregon,G41,industrial,2022,G4100110,elec,445989.8306140951,7334781.975739647
Baker,Oregon,G41,industrial,2022,G4100010,elec,834519.1383129014,13724563.911421653
Union,Oregon,G41,industrial,2022,G4100610,elec,482935.478811082,7942392.858041929
Sherman,Oregon,G41,industrial,2022,G4100550,elec,51030.68587437028,839254.4611288153
Coos,Oregon,G41,industrial,2022,G4100110,ng,274296.7489703808,1743464.6693821403
Baker,Oregon,G41,industrial,2022,G4100010,ng,367599.35714143,2336507.793363883
Union,Oregon,G41,industrial,2022,G4100610,ng,290859.2575737059,1848738.0592222568
Sherman,Oregon,G41,industrial,2022,G4100550,ng,301.2048575094547,1914.4959948858966
Baker,Oregon,G41,residential,2022,G4100010,ng,197188.27863762638,2322147.833820792
Coos,Oregon,G41,residential,2022,G4100110,ng,214011.23275704432,2316057.90251432
Sherman,Oregon,G41,residential,2022,G4100550,ng,5444.044044896088,58795.75425694407
Union,Oregon,G41,residential,2022,G4100610,ng,305646.90909970226,3714019.6873003743
Deschutes,Oregon,G41,commercial,2022,G4100170,elec,2309131.896002177,59972458.52926334
Gilliam,Oregon,G41,commercial,2022,G4100210,elec,23721.03293732164,601925.450150741
Malheur,Oregon,G41,commercial,2022,G4100450,elec,640000.5720297417,15234229.12725401
Washington,Oregon,G41,commercial,2022,G4100670,elec,8807142.362788545,229657040.17582157
Deschutes,Oregon,G41,commercial,2022,G4100170,ng,1493903.548849231,11140953.094126945
Gilliam,Oregon,G41,commercial,2022,G4100210,ng,241.49297541271613,26.258800952901822
Malheur,Oregon,G41,commercial,2022,G4100450,ng,131143.20352636167,944955.4467220239
Washington,Oregon,G41,commercial,2022,G4100670,ng,5030324.816488115,45741397.04525263
Deschutes,Oregon,G41,residential,2022,G4100170,elec,2500620.1499370495,76639666.38016309
Gilliam,Oregon,G41,residential,2022,G4100210,elec,29664.8309176512,931923.0265137922
Malheur,Oregon,G41,residential,2022,G4100450,elec,456777.9007272766,13084285.248568935
Washington,Oregon,G41,residential,2022,G4100670,elec,6778845.291306177,220122522.94290257
Deschutes,Oregon,G41,industrial,2022,G4100170,elec,1607375.027061087,26435009.427251
Washington,Oregon,G41,industrial,2022,G4100670,elec,7645140.367843157,125732547.97053048
Malheur,Oregon,G41,industrial,2022,G4100450,elec,749114.592279978,12319994.385641228
Gilliam,Oregon,G41,industrial,2022,G4100210,elec,36119.07043029306,0.0
Deschutes,Oregon,G41,industrial,2022,G4100170,ng,939460.080770447,5971326.547858696
Washington,Oregon,G41,industrial,2022,G4100670,ng,4313509.7140277065,27417210.796968114
Malheur,Oregon,G41,industrial,2022,G4100450,ng,2196028.5669770874,13958234.043422338
Gilliam,Oregon,G41,industrial,2022,G4100210,ng,0.0,0.0
Deschutes,Oregon,G41,residential,2022,G4100170,ng,2526887.368928144,21316403.106591184
Gilliam,Oregon,G41,residential,2022,G4100210,ng,5403.114471724429,58353.71427856541
Malheur,Oregon,G41,residential,2022,G4100450,ng,241610.73897375862,2059098.1126779143
Washington,Oregon,G41,residential,2022,G4100670,ng,7816308.724490798,84416247.04312252
Douglas,Oregon,G41,commercial,2022,G4100190,elec,1440298.7222704573,40020994.99388691
Grant,Oregon,G41,commercial,2022,G4100230,elec,61814.74334173682,1497767.222122608
